Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
21,GBR,United Kingdom,Northern Europe,English,Christian,65860000,241930,6.91,1.336,1.37,0.884,0.504,0.244,0.424,42348.776,50.71,0.744,8.640534799,0.08,10.805,10.905,8.385,5.3,40.91,34.8,71.1,4.4,21.3,1.3,0.4,0.3,0.8,0.5,#N/A,83.9,8.52,28,1.8,10.53,1.2,140,11.5,1.7,100.1,133.37,35,89,66,35,25,4,9.2
130,GEO,Georgia,Eastern Europe,Europe (other),Christian,4024000,69490,4.34,0.854,0.482,0.682,0.354,0.266,0.052,4385.068,52.24,0.675,9.352990548,0.295,8.49,13.44,21.515,11.96,18.84,36.4,88.5,10.7,0.7,0,0,0,0,0,9.2,59.5,5.42,39,2.05,20.1,2.22,262,9.8,0.48,#N/A,123.28,#N/A,#N/A,#N/A,#N/A,#N/A,-4.7,13.06
114,GHA,Ghana,Sub-Saharan Africa,English,Christian,27849000,227540,4.538,0.61,0.762,0.366,0.426,0.034,0.232,2021.12,49.35,0.6811,6.340163039,0.43,6.445,21.63,46.785,2.15,#N/A,43.5,74.9,17.8,4.2,0,0,4.9,0.2,0,14,57.3,6.63,28,4.04,30.3,2.1,52,2.7,0.62,#N/A,#N/A,77,20,46,54,16,-0.4,7.66
150,GIN,Guinea,Sub-Saharan Africa,French,Muslim,11432000,245720,3.854,0.27,0.636,0.242,0.352,0.106,0.25,881.248,52.11,#N/A,6.427897608,0.39,6.925,25.9,55.365,4.53,#N/A,33.7,10.9,84.4,1.8,0,0,2.7,0,0,27.4,36.5,3.14,33,4.93,#N/A,8.82,28,1.3,0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-5.4,9.34
,GMB,Gambia,Sub-Saharan Africa,French,Muslim,2086000,10120,4.52,0.31,0.94,0.43,0.38,0.17,0.27,694.794,50.39,#N/A,5.57860785,0.35,6.11,22.05,46.925,9.42,#N/A,35.9,4.5,95.1,0,0,0,0.1,0,0,21.8,62.6,4.33,21,5.39,#N/A,9.13,31,3.8,0.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.6,8.33
102,GRC,Greece,Southern Europe,Europe (other),Christian,10660000,128900,5.154,1.204,1.056,0.874,0.088,0.032,0,19024.26,50.91,0.6782,5.06393238,0.075,4.5,7.075,8.1,24.9,21.74,34.4,88.1,5.3,6.1,0.1,0,0.1,0,0,#N/A,79.7,7.43,29,1.33,22.5,0.94,95,10.4,0.55,48.1,132.79,60,35,57,112,0,-3,11.2
43,GTM,Guatemala,Latin America and Caribbean,Spanish,Christian,16252000,107160,6.342,0.806,1.142,0.616,0.55,0.082,0.24,4342.454,50.81,0.6304,5.214083906,0.35,8.02,6.375,7.505,2.7,31.58,48.3,95.2,0.1,4.1,0,0,0.6,0.07,0,20.6,51.8,5.26,25,3.03,20.2,22.5,143,2.5,0.68,#N/A,#N/A,95,6,37,101,0,-0.6,4.83
72,HKG,Hong Kong,Eastern Asia,English,Atheist,7186000,1050,5.452,1.46,1.152,1.01,0.506,0.312,0.334,45925.518,53.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.3,#N/A,#N/A,14.3,1.8,56.1,0.4,13.2,12.8,1.5,0,#N/A,#N/A,6.02,19,1.2,20.3,0.65,106,0,#N/A,#N/A,144.57,68,25,57,29,96,2.1,6.3
105,HND,Honduras,Latin America and Caribbean,Spanish,Christian,9113000,111890,5.24,0.656,1.06,0.662,0.398,0.072,0.224,2435.84,50.07,0.6773,3.705128905,0.205,5.005,6.68,13.225,4.59,#N/A,52.1,87.6,0.1,10.5,0,0.1,1.1,0.6,0,12.9,58.4,5.42,19,2.58,#N/A,38.93,229,4,0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,4.42
62,HRV,Croatia,Eastern Europe,Europe (other),Christian,4233000,55960,5.458,1.154,0.962,0.77,0.288,0.032,0.144,13465.83,51.91,0.7069,17.24876503,0.41,11.995,24.975,38.27,16.18,34.69,30.4,93.4,1.4,5.1,0,0,0,0,0,5,57.6,6.57,33,1.4,19.09,0.58,79,8.9,0.73,#N/A,100.73,#N/A,#N/A,#N/A,#N/A,#N/A,-1.8,12.9
